Rango,Carrera,Valor
1,"Matemáticas","$29,887"
2,"Medicina general","$27,823"
3,"Finanzas banca y seguros","$27,290"
4,"Arquitectura y urbanismo","$26,822"
5,"Ciencias políticas","$26,095"
6,"Electrónica automatización y aplicaciones de la mecánica-eléctrica","$25,953"
7,"Construcción e ingeniería civil","$25,603"
8,"Diseño industrial de moda e interiores","$25,503"
9,"Planeación evaluación e investigación educativa","$25,490"
10,"Ciencias computacionales","$24,983"
